,player,predicted_points_xg,predicted_rank,total_points,mins,pos,actual_rank
237,Jannik Vestergaard,70.802711811232,238.0,49.0,2027.0,DEF,265.0
238,Josh Murphy,70.504449960156,239.0,81.0,2055.0,MID,156.5
239,Érik Lamela,70.219930681644,240.0,58.0,974.0,MID,228.0
240,Yves Bissouma,69.598874726634,241.0,49.0,2129.0,MID,265.0
241,Dejan Lovren,69.473807770736,242.0,59.0,986.0,DEF,225.5
242,Ruben Loftus-Cheek,69.428818695812,243.0,99.0,1106.0,MID,104.5
243,Mattéo Guendouzi,69.397708502644,244.0,49.0,2271.0,MID,265.0
244,Tom Cairney,68.92958631206,245.0,73.0,2349.0,MID,184.5
245,Fabián Balbuena,67.989681752264,246.0,63.0,2013.0,DEF,210.0
246,Kelechi Iheanacho,67.783094681094,247.0,53.0,941.0,FWD,248.5
247,Danilo,67.714887555394,248.0,54.0,899.0,DEF,243.5
248,Shane Long,67.698145875048,249.0,73.0,1364.0,FWD,184.5
249,Jonathan Hogg,67.427781316778,250.0,53.0,2367.0,MID,248.5
250,Ander Herrera,67.354648095436,251.0,60.0,1465.0,MID,221.5
251,Alexis Sánchez,67.048989268026,252.0,39.0,888.0,MID,305.0
252,Stuart Armstrong,66.907468427512,253.0,71.0,1543.0,MID,189.5
253,Joe Ralls,66.38675073702001,254.0,50.0,2150.0,MID,261.0
254,Federico Fernández,66.26043615283,255.0,39.0,1484.0,DEF,305.0
255,Fabinho,66.234615461468,256.0,65.0,2017.0,MID,206.0
256,Isaac Hayden,65.721873340964,257.0,65.0,1859.0,MID,206.0
257,Cenk Tosun,65.616761657586,258.0,59.0,1160.0,FWD,225.5
258,Harry Arter,65.530477284498,259.0,51.0,2156.0,MID,257.0
259,Matthew Lowton,65.2399444281,260.0,33.0,1750.0,DEF,332.5
260,Kenedy,65.203452058728,261.0,49.0,1348.0,MID,265.0
261,Javier Hernández,64.6335591698,262.0,79.0,1334.0,FWD,164.0
262,André Schürrle,64.456596888014,263.0,74.0,1672.0,MID,180.5
263,Phil Bardsley,64.17467646865,264.0,33.0,1670.0,DEF,332.5
264,Vicente Guaita,63.422443996,265.0,84.0,1934.0,GK,145.0
265,Isaac Success,62.839383542386,266.0,48.0,1095.0,FWD,270.0
266,Junior Stanislas,62.819577424428005,267.0,53.0,1031.0,MID,248.5
267,Ryan Babel,62.689552395042,268.0,79.0,1418.0,MID,164.0
268,Wayne Hennessey,62.635401548,269.0,56.0,1576.0,GK,233.5
269,Maxime Le Marchand,62.492623430036,270.0,36.0,2430.0,DEF,320.5
270,Cédric Soares,62.457581575754,271.0,51.0,1495.0,DEF,257.0
271,Benjamin Mendy,62.247824189232,272.0,61.0,900.0,DEF,218.0
272,Dan Gosling,62.223142249404,273.0,51.0,1739.0,MID,257.0
273,Hélder Costa,61.637390643166,274.0,51.0,1360.0,MID,257.0
274,Matt Targett,61.562326606186,275.0,36.0,1186.0,DEF,320.5
275,Marc Albrighton,61.424479147786,276.0,61.0,1625.0,MID,218.0
276,Nampalys Mendy,61.307920642514,277.0,55.0,2092.0,MID,239.0
277,Eric Dier,61.067932078484,278.0,56.0,1566.0,MID,233.5
278,Naby Keïta,61.015545454468,279.0,63.0,1390.0,MID,210.0
279,Olivier Giroud,60.910156126242,280.0,62.0,951.0,FWD,214.0
280,Harry Winks,60.512051894152,281.0,54.0,1619.0,MID,243.5
281,Lee Peltier,60.5028323644,282.0,47.0,1904.0,DEF,275.0
282,Leander Dendoncker,59.492828959954,283.0,56.0,1723.0,MID,233.5
283,Dwight McNeil,59.19116955452,284.0,85.0,1591.0,MID,142.0
284,Adam Masina,58.3577768863,285.0,26.0,1274.0,DEF,357.0
285,Fabian Delph,58.21932301273,286.0,29.0,725.0,DEF,344.0
286,Eric Bailly,57.886056761484,287.0,16.0,638.0,DEF,392.0
287,Laurent Depoitre,57.635643591886,288.0,34.0,1068.0,FWD,329.0
288,Oumar Niasse,57.48298916276,289.0,36.0,1265.0,FWD,320.5
289,Simon Francis,57.261375441688,290.0,38.0,1229.0,DEF,311.0
290,Charlie Austin,56.721698220088,291.0,45.0,983.0,FWD,280.5
291,Romain Saïss,56.446671030754,292.0,41.0,1246.0,MID,294.5
292,Javier Manquillo,56.35689202563,293.0,50.0,1101.0,DEF,261.0
293,Phil Foden,55.870249290318,294.0,37.0,509.0,MID,316.0
294,Bobby Reid,55.826164075538,295.0,77.0,1442.0,FWD,172.0
295,Jordan Ayew,55.657151456512,296.0,43.0,1181.0,FWD,286.0
296,Mario Lemina,55.344381825192,297.0,52.0,1675.0,MID,253.0
297,Álvaro Morata,55.099768062496,298.0,45.0,941.0,FWD,280.5
298,Juan Foyth,55.094432427574,299.0,36.0,979.0,DEF,320.5
299,Gonzalo Higuaín,54.515405839498,300.0,52.0,1161.0,FWD,253.0
300,Joe Hart,54.361594111596,301.0,57.0,1710.0,GK,229.5
301,Sam Vokes,53.395904126196,302.0,42.0,915.0,FWD,289.5
302,Rúben Vinagre,53.132360047632,303.0,24.0,809.0,DEF,365.5
303,Emerson Palmieri,53.128078314774,304.0,24.0,753.0,DEF,365.5
304,Bruno,52.99796471197,305.0,49.0,1380.0,DEF,265.0
305,Andrew Surman,52.907442124648,306.0,36.0,1439.0,MID,320.5
306,Tom Heaton,51.905148983248,307.0,54.0,1710.0,GK,243.5
307,Ivan Cavaleiro,51.680871125994,308.0,48.0,782.0,FWD,270.0
308,Pedro Obiang,51.090516272534,309.0,39.0,1128.0,MID,305.0
309,Fernando Llorente,50.584372577888,310.0,44.0,798.0,FWD,283.5
310,Harvey Barnes,50.350946628844,311.0,39.0,1004.0,MID,305.0
311,Scott McTominay,48.51733140037,312.0,43.0,1002.0,MID,286.0
312,Luciano Vietto,48.508004266986,313.0,47.0,986.0,MID,275.0
313,Tom Davies,48.386424543352,314.0,29.0,1160.0,MID,344.0
314,Alfie Mawson,47.489134739032,315.0,17.0,1131.0,DEF,387.5
315,Beram Kayal,46.519838359434,316.0,40.0,1026.0,MID,300.0
316,Wesley Hoedt,46.500049281384,317.0,26.0,1170.0,DEF,357.0
317,Florian Lejeune,46.332772838832,318.0,31.0,1054.0,DEF,338.0
318,Adama Traoré,45.956921084004,319.0,44.0,989.0,FWD,283.5
319,Morgan Gibbs-White,45.917671244808,320.0,40.0,736.0,MID,300.0
320,Ademola Lookman,45.793503739068,321.0,32.0,649.0,MID,335.5
321,Jonjo Shelvey,45.79186877308,322.0,38.0,948.0,MID,311.0
322,Fred,44.52085431987,323.0,47.0,1240.0,MID,275.0
323,Christian Benteke,44.062706083898,324.0,35.0,842.0,FWD,325.5
324,Yerry Mina,43.978265049988,325.0,40.0,892.0,DEF,300.0
325,Alireza Jahanbakhsh,43.832730794756,326.0,40.0,1295.0,MID,300.0
326,Ken Sema,43.675230497746,327.0,38.0,844.0,MID,311.0
327,Florin Andone,43.64403675932,328.0,41.0,1107.0,FWD,294.5
328,José Izquierdo,43.435938238526,329.0,36.0,935.0,MID,320.5
329,Martin Kelly,43.259849083476,330.0,26.0,1201.0,DEF,357.0
330,Youri Tielemans,42.804322091616,331.0,54.0,1086.0,MID,243.5
331,Ki Sung-yueng,42.789607199354,332.0,37.0,1302.0,MID,316.0
332,Juninho Bacuna,42.749499416154,333.0,38.0,1412.0,MID,311.0
333,Stephan Lichtsteiner,42.674128364,334.0,10.0,938.0,DEF,419.5
334,Kyle Walker-Peters,41.920592822886,335.0,28.0,376.0,DEF,349.5
335,Elias Kachunga,41.908167189658,336.0,30.0,1182.0,MID,340.5
336,Rachid Ghezzal,41.750069113024,337.0,28.0,743.0,MID,349.5
337,Andre-Frank Zambo Anguissa,41.49462047141,338.0,41.0,1697.0,MID,294.5
338,Angus Gunn,41.377588808,339.0,42.0,1260.0,GK,289.5
339,Timothy Fosu-Mensah,41.257334237092,340.0,10.0,883.0,DEF,419.5
340,Diego Rico,41.074061241812,341.0,-1.0,612.0,DEF,503.5
341,Rob Holding,40.994720857822,342.0,21.0,807.0,DEF,378.5
342,Tommy Smith,40.901753027412,343.0,8.0,1141.0,DEF,433.0
343,Serge Aurier,40.486402556134,344.0,24.0,564.0,DEF,365.5
344,Scott Dann,40.39032643069,345.0,29.0,753.0,DEF,344.0
345,Jordon Ibe,40.317761133914,346.0,33.0,797.0,MID,332.5
346,Jonjoe Kenny,39.797980860378,347.0,20.0,935.0,DEF,382.0
347,Ciaran Clark,39.72655579423,348.0,40.0,858.0,DEF,300.0
348,Marouane Fellaini,39.191145480768,349.0,26.0,752.0,MID,357.0
349,Shinji Okazaki,38.736453295364,350.0,25.0,288.0,MID,361.0
350,Aaron Lennon,38.611662442076,351.0,41.0,1215.0,MID,294.5
351,Isaac Mbenza,38.5570509883,352.0,38.0,986.0,MID,311.0
352,Floyd Ayité,38.1830848922,353.0,26.0,539.0,MID,357.0
353,Grady Diangana,38.019452455524,354.0,24.0,609.0,MID,365.5
354,Kenneth Zohore,38.004261645112,355.0,35.0,842.0,FWD,325.5
355,Artur Boruc,37.588878348,356.0,41.0,1080.0,GK,294.5
356,Victor Wanyama,37.532264282272,357.0,28.0,628.0,MID,349.5
357,Adam Lallana,37.424999371166,358.0,17.0,468.0,MID,387.5
358,Ryan Fredericks,37.101864238494,359.0,38.0,1086.0,DEF,311.0
359,Chris Mepham,35.973112916,360.0,23.0,850.0,DEF,370.0
360,Andreas Pereira,35.874084362064,361.0,30.0,719.0,MID,340.5
361,Marcos Rojo,35.845079820872,362.0,3.0,226.0,DEF,460.5
362,Mohamed Elyounoussi,35.520001403746,363.0,27.0,793.0,MID,353.5
363,Daniel Sturridge,35.130498079464,364.0,34.0,509.0,FWD,329.0
